Tanggal,Tavg,RH_avg,ff_avg,RR
01-09-2019,28,66,2,0
02-09-2019,28.4,66,2,0
03-09-2019,28.9,66,2,0
04-09-2019,27.5,64,3,0
05-09-2019,27.7,61,2,0
06-09-2019,28.2,61,2,0
07-09-2019,27.9,66,2,0
08-09-2019,28.2,64,2,0
09-09-2019,29,60,3,0
10-09-2019,30.7,54,2,0
11-09-2019,28.5,67,2,0
12-09-2019,27.4,62,3,0
13-09-2019,27.8,66,2,0
14-09-2019,28.1,64,3,0
15-09-2019,28.2,67,3,0
16-09-2019,29.2,62,3,0
17-09-2019,29,66,3,0
18-09-2019,28.9,66,2,0
19-09-2019,28.4,67,3,0
20-09-2019,28.6,63,2,0
21-09-2019,28.5,66,2,0
22-09-2019,28.5,66,2,0
23-09-2019,28.4,66,3,0
24-09-2019,30.1,64,3,0
25-09-2019,29.5,64,3,0
26-09-2019,30.5,64,2,0
27-09-2019,30.1,63,2,0
28-09-2019,30.3,64,3,0
29-09-2019,29.9,63,2,0
30-09-2019,29.2,62,2,0
01-10-2019,29,63,2,0
02-10-2019,29.9,64,3,0
03-10-2019,30.3,64,2,0
04-10-2019,30.1,59,2,0
05-10-2019,29.7,55,3,0
06-10-2019,29.2,61,2,0
07-10-2019,30,63,2,0
08-10-2019,30.7,60,2,0
09-10-2019,30.1,68,3,0
10-10-2019,30.7,64,3,0
11-10-2019,30.8,60,2,0
12-10-2019,30.2,61,1,0
13-10-2019,30.4,63,1,0
14-10-2019,30.8,59,2,0
15-10-2019,30.4,64,2,0
16-10-2019,30.2,68,2,0
17-10-2019,29.8,62,2,0
18-10-2019,30.8,60,2,0
19-10-2019,31,62,2,0
20-10-2019,30.5,64,3,0
21-10-2019,30.7,60,3,0
22-10-2019,31.3,61,3,0
23-10-2019,30.8,65,2,0
24-10-2019,30.9,57,3,0
25-10-2019,30.5,60,2,0
26-10-2019,30.8,61,2,0
27-10-2019,30.9,62,2,0
28-10-2019,31.6,60,2,0
29-10-2019,31.8,58,2,0
30-10-2019,31.5,58,3,0
31-10-2019,31.7,62,1,0
01-11-2019,30.3,69,1,1
02-11-2019,28.3,79,1,0
03-11-2019,29.9,69,1,0.6
04-11-2019,31.1,62,2,0
05-11-2019,31,64,1,0
06-11-2019,30.5,64,1,0
07-11-2019,31.6,59,2,0
08-11-2019,32.2,60,1,0
09-11-2019,32.4,59,2,0
10-11-2019,31.9,60,2,0
11-11-2019,32.1,62,2,0
12-11-2019,31,64,2,0
13-11-2019,30.1,74,2,0
14-11-2019,31,72,1,
15-11-2019,31.9,58,2,0
16-11-2019,31.6,59,2,0
17-11-2019,31.9,61,3,0
18-11-2019,32.1,60,2,0
19-11-2019,31.6,65,1,0
20-11-2019,31.9,60,1,0
21-11-2019,31.3,64,2,0
22-11-2019,31.7,60,1,0
23-11-2019,32.4,60,2,0
24-11-2019,32.1,62,1,0
25-11-2019,32,62,1,0
26-11-2019,31.3,65,2,0
27-11-2019,30.4,73,2,15.2
28-11-2019,31.7,63,2,0
29-11-2019,31.7,63,2,0
30-11-2019,32.3,64,2,0
01-12-2019,31.6,65,2,0
02-12-2019,31.9,71,1,0
03-12-2019,31.6,68,2,0
04-12-2019,31.7,64,1,1
05-12-2019,30.2,76,1,8
06-12-2019,29.5,74,1,0
07-12-2019,31.4,66,1,0
08-12-2019,31.7,64,2,0
09-12-2019,31.6,68,1,0
10-12-2019,30.8,71,1,7.7
11-12-2019,31.5,66,1,0
12-12-2019,30.4,68,1,0
13-12-2019,30.9,66,1,0
14-12-2019,30.6,68,1,0
15-12-2019,29.5,70,1,0
16-12-2019,29.5,74,1,0
17-12-2019,29.3,74,1,
18-12-2019,30.4,72,1,1.4
19-12-2019,31.7,68,1,
20-12-2019,30.6,70,1,0
21-12-2019,31.2,71,1,4.8
22-12-2019,29.6,76,1,3.9
23-12-2019,29.5,74,1,0
24-12-2019,29.7,76,1,17
25-12-2019,29,79,1,0
26-12-2019,28.7,80,1,14.5
27-12-2019,28.9,81,1,0
28-12-2019,28.9,79,2,13
29-12-2019,29.9,76,1,0
30-12-2019,29.4,76,1,0
31-12-2019,29.3,78,1,1.5
01-01-2020,28.8,79,0,
02-01-2020,28.9,77,1,1.2
03-01-2020,28.7,81,1,0
04-01-2020,28.3,81,1,5.4
05-01-2020,28.5,81,2,1.4
06-01-2020,28.2,80,1,16.2
07-01-2020,28.7,82,1,58.5
08-01-2020,28.4,82,1,1.5
09-01-2020,28.2,81,1,10
10-01-2020,28.2,84,1,37
11-01-2020,28.4,78,1,3.2
12-01-2020,29.7,73,1,4
13-01-2020,29.1,77,2,0
14-01-2020,29.8,76,1,0
15-01-2020,29,79,1,0
16-01-2020,29.4,78,1,2.5
17-01-2020,29.6,75,1,0
18-01-2020,30.2,72,1,0
19-01-2020,29.9,77,1,26.7
20-01-2020,29.2,80,1,0
21-01-2020,28.9,81,1,6.2
22-01-2020,31,71,1,0
23-01-2020,29.5,80,1,0
24-01-2020,29.8,76,1,1.5
25-01-2020,29.6,77,1,6.4
26-01-2020,29.8,73,1,0
27-01-2020,29.7,78,1,0
28-01-2020,30.6,75,1,1
29-01-2020,30.1,75,1,0
30-01-2020,29.3,77,1,0
31-01-2020,29,78,1,
01-02-2020,29,81,0,28
02-02-2020,28.2,82,1,67.4
03-02-2020,28.5,80,1,0
04-02-2020,29.1,79,1,0
05-02-2020,29.7,78,1,0
06-02-2020,29.5,76,1,0.8
07-02-2020,28.6,82,1,2.5
08-02-2020,28,84,1,33.2
09-02-2020,29.4,80,1,0
10-02-2020,29,76,1,0
11-02-2020,28.5,83,1,21.7
12-02-2020,29,80.5,1,0
13-02-2020,29.5,78,1,0.4
14-02-2020,29.4,77,1,0
15-02-2020,29,78,1,0.2
16-02-2020,28.8,79,1,0
17-02-2020,27.7,85,1,22.5
18-02-2020,27.4,82,1,16.1
19-02-2020,28.4,83,1,0
20-02-2020,27.5,84,1,2.5
21-02-2020,28.4,82,1,0
22-02-2020,28.3,85,1,31.3
23-02-2020,28.8,83,1,33
24-02-2020,29.2,81,1,20
25-02-2020,28.7,81,1,0
26-02-2020,28.6,84,1,33.5
27-02-2020,28.9,82,1,32.4
28-02-2020,28.2,85,1,31.1
29-02-2020,28.9,83,1,104.5
01-03-2020,28.1,85,1,0
02-03-2020,29.4,80,1,1.5
03-03-2020,28.8,82,1,7.5
04-03-2020,27.3,89,1,4.5
05-03-2020,28.1,84,1,42.9
06-03-2020,28.3,81,1,1.6
07-03-2020,28.2,82,1,10.1
08-03-2020,27.8,86,1,59.7
09-03-2020,28.3,84,1,31
10-03-2020,28.9,78,2,44.2
11-03-2020,30.1,79,2,0
12-03-2020,30.4,77,1,0
13-03-2020,29.4,79,1,0
14-03-2020,28.9,81,0,40.5
